1755339300, 20m, 14075384, FT8, G7JUR, IO91OF57, 223, Rx, IV3CTT, JN65ST, 248, -7
1755339300, 20m, 14075238, FT8, G7JUR, IO91OF57, 223, Rx, IW2HHL, JN46OA, 248, -5
1755339315, 20m, 14075744, FT8, G7JUR, IO91OF57, 223, Rx, SP7QJF, KO10FQ09, 269, -8
1755339315, 20m, 14074691, FT8, G7JUR, IO91OF57, 223, Rx, LA2HFA, JO59LL, 266, -13
1755339315, 20m, 14076547, FT8, G7JUR, IO91OF57, 223, Rx, RA3PDL, KO85XR, 54, -14
1755339330, 20m, 14076569, FT8, G7JUR, IO91OF57, 223, Rx, IT9IRP, JM68ND15, 248, -11
1755339345, 20m, 14076294, FT8, G7JUR, IO91OF57, 223, Rx, DL0GEO, JO33RH, 230, -14
1755339360, 20m, 14076278, FT8, G7JUR, IO91OF57, 223, Rx, R2FDU, JO94WP55, 126, -8
1755339360, 20m, 14075556, FT8, G7JUR, IO91OF57, 223, Rx, YU7AS, KN05LM, 296, -12
1755339360, 20m, 14075519, FT8, G7JUR, IO91OF57, 223, Rx, SV3AUW, KM17BA49, 236, -6
1755339375, 20m, 14075234, FT8, G7JUR, IO91OF57, 223, Rx, 9A5E, JN75UV, 497, -8
1755339390, 20m, 14075878, FT8, G7JUR, IO91OF57, 223, Rx, OH5UY, KP20, 224, -11
1755339403, 20m, 14075906, FT8, G6IQI, IO91HA, 223, Rx, OH5UY, KP20, 224, -17
1755339405, 20m, 14074983, FT8, G6IQI, IO91HA, 223, Rx, DB8BT, JO42NL, 230, -7
1755339417, 20m, 14076819, FT8, G6IQI, IO91HA, 223, Rx, DL1HQN, JO61BJ, 230, -8
1755339402, 20m, 14075740, FT8, G1ZZC, IO90TT, 223, Rx, UY5BF, KN29TN, 288, -16
1755339402, 20m, 14076540, FT8, G1ZZC, IO90TT, 223, Rx, R6OJ, KN87UV, 54, -18
1755339404, 20m, 14075367, FT8, G1ZZC, IO90TT, 223, Rx, IS0EDE, JN40DN87, 225, -15
1755339401, 20m, 14075882, FT8, G4ZJH, JO02RF, 223, Rx, OH5UY, KP20, 224, -15
1755339416, 20m, 14074753, FT8, G4ZJH, JO02RF, 223, Rx, EA1C, IN72JP, 281, -13
1755339434, 20m, 14076729, FT8, G4ZJH, JO02RF, 223, Rx, UW8SM, KN28IV27HA, 288, -17
1755339405, 20m, 14076864, FT8, GX0FRE, IO82UC, 223, Rx, DG2MFB, JN49JB, 230, -11
1755339405, 20m, 14076896, FT8, GX0FRE, IO82UC, 223, Rx, SM3MLX, JP82QJ, 284, -6
1755339405, 20m, 14076141, FT8, GX0FRE, IO82UC, 223, Rx, RU3FA, KO84RV16, 54, -11
1755339405, 20m, 14075827, FT8, GX0FRE, IO82UC, 223, Rx, F1IQH, JN27RA04, 227, -13
1755339420, 20m, 14075132, FT8, GX0FRE, IO82UC, 223, Rx, EA3GVB, JN11DV, 281, -13
1755339417, 20m, 14076547, FT8, G8KHF, IO92KG, 223, Rx, DG2MFB, JN49JB, 230, -17
1755339419, 20m, 14075760, FT8, G8KHF, IO92KG, 223, Rx, UR5LAK, KN89KL41, 288, -16
1755339419, 20m, 14074758, FT8, G8KHF, IO92KG, 223, Rx, EA1C, IN72JP, 281, -21
1755339434, 20m, 14075565, FT8, G8KHF, IO92KG, 223, Rx, YU7AS, KN05LM, 296, -18
1755339434, 20m, 14076734, FT8, G8KHF, IO92KG, 223, Rx, UW8SM, KN28IV27HA, 288, -20
1755339416, 20m, 14076777, FT8, G0PDR, IO81WW, 223, Rx, DL1HQN, JO61BJ, 230, 6
1755339417, 20m, 14074286, FT8, G0PDR, IO81WW, 223, Rx, F4LER, JN18, 227, -21
1755339420, 20m, 14075219, FT8, G0PDR, IO81WW, 223, Rx, 9A5E, JN75UV, 497, -19
1755339432, 20m, 14074938, FT8, G0PDR, IO81WW, 223, Rx, HB9SDO, JN37, 287, -17
1755339402, 20m, 14075878, FT8, G8IXM, JO02PP29, 223, Rx, OH5UY, KP20, 224, 0
1755339403, 20m, 14076049, FT8, G8IXM, JO02PP29, 223, Rx, UW8SM, KN28IV27HA, 288, -2
1755339434, 20m, 14075371, FT8, G8IXM, JO02PP29, 223, Rx, IS0EDE, JN40DN87, 225, -10
1755339434, 20m, 14076292, FT8, G8IXM, JO02PP29, 223, Rx, F1PPH, JN07DV09, 227, -19
1755339434, 20m, 14075825, FT8, G8IXM, JO02PP29, 223, Rx, SP5FWT, KO02LJ, 269, -19
1755339435, 20m, 14076538, FT8, G8IXM, JO02PP29, 223, Rx, N1MGO, FN42AN, 291, -24
1755339327, 20m, 14075232, FT8, M0GVY, IO91NJ, 223, Rx, 9A5E, JN75UV, 497, -6
1755339329, 20m, 14075271, FT8, M0GVY, IO91NJ, 223, Rx, OE5PEN, JN78CD64, 206, -16
1755339342, 20m, 14075554, FT8, M0GVY, IO91NJ, 223, Rx, YU7AS, KN05LM, 296, -15
1755339345, 20m, 14076229, FT8, M0GVY, IO91NJ, 223, Rx, DJ3DN, JN47UN, 230, -16
1755339356, 20m, 14075743, FT8, M0GVY, IO91NJ, 223, Rx, SP7QJF, KO10FQ09, 269, -10
1755339357, 20m, 14075879, FT8, M0GVY, IO91NJ, 223, Rx, OE6HTG, JN77VH95, 206, -2
1755339357, 20m, 14075063, FT8, M0GVY, IO91NJ, 223, Rx, RC7O, KN87, 54, -16
1755339374, 20m, 14076277, FT8, M0GVY, IO91NJ, 223, Rx, R2FDU, JO94WP55, 126, -14
1755339374, 20m, 14075930, FT8, M0GVY, IO91NJ, 223, Rx, E77WA, JN83VI, 501, -17
1755339403, 20m, 14075743, FT8, M0GVY, IO91NJ, 223, Rx, UY5BF, KN29TN, 288, -16
1755339417, 20m, 14074953, FT8, M0GVY, IO91NJ, 223, Rx, DB8BT, JO42NL, 230, -24
1755339419, 20m, 14076790, FT8, M0GVY, IO91NJ, 223, Rx, DL1HQN, JO61BJ, 230, -19
1755339419, 20m, 14076322, FT8, M0GVY, IO91NJ, 223, Rx, DL0GEO, JO33RH, 230, -15
1755339432, 20m, 14075876, FT8, M0GVY, IO91NJ, 223, Rx, OH5UY, KP20, 224, -8
1755339435, 20m, 14075370, FT8, M0GVY, IO91NJ, 223, Rx, IS0EDE, JN40DN87, 225, -13
1755339435, 20m, 14076723, FT8, M0GVY, IO91NJ, 223, Rx, UW8SM, KN28IV27HA, 288, -24
1755339447, 20m, 14074911, FT8, M0GVY, IO91NJ, 223, Rx, OM8JP, KN08PR, 504, -12
